"name","articul","price"
"ВАЛ КОЛЕНЧАТЫЙ","240-1005000-А2",166982
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","236-1005009-Ж",70092
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","236Д-1005009-Б",70219
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","236НЕ-1005009-Б",70347
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","236ДК-1005009-30",70283
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","238-1005009-Г3",87934
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","238-1005009-Д1",87296
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","238ДК-1005009-30",87870
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","7601.1005009",77101
"ВАЛ КОЛЕНЧАТЫЙ В СБОРЕ","7601.1005009-10",77165
"ВАЛ КОЛЕНЧАТЫЙ","840.1005010",210959
"ВАЛ КОЛЕНЧАТЫЙ","845.1005010",212422
"ВАЛ КОЛЕНЧАТЫЙ","850.1005010",213888
"ВАЛ КОЛЕНЧАТЫЙ","8421.1005007",156350
"Вал коленчатый в сборе","5340.1005010",25105
"Вал коленчатый в сборе","536.1005010",35388
"Вал коленчатый","650.1005010",120537
"Новая деталь","255.578ф45011",250
"Новая деталь","255.578ф45012",260
"Новая деталь","255.578ф45013",270
"Новая деталь","255.578ф45014",280
"Новая деталь","255.578ф45015",290
